word,male,male_ratio,female,female_ratio,female_male_ratio
coast,1530,0.042702838,1300,0.053903885,1.262302159
share,2798,0.078093165,2370,0.098270929,1.258380673
room,423,0.011806079,358,0.014844301,1.257343853
concert,720,0.020095453,609,0.025251897,1.256597525
park,1042,0.029082587,881,0.036530248,1.256086631
marri,453,0.012643389,383,0.015880914,1.256064599
giant,619,0.017276508,523,0.021685948,1.255227495
direct,546,0.015239052,461,0.019115147,1.25435275
cook,3191,0.089061933,2694,0.111705436,1.254244458
definit,1329,0.037092858,1122,0.046523199,1.254236051
class,633,0.017667253,534,0.022142057,1.253282428
continu,546,0.015239052,459,0.019032218,1.248910873
spot,369,0.01029892,310,0.012854003,1.248092379
sexual,360,0.010047727,302,0.012522287,1.246280632
return,490,0.013676072,411,0.017041921,1.246112193
okay,370,0.01032683,310,0.012854003,1.244719156
awkward,370,0.01032683,310,0.012854003,1.244719156
wish,646,0.018030087,541,0.022432309,1.24415976
pleasur,421,0.011750258,352,0.014595514,1.242144073
close,1348,0.037623154,1127,0.046730522,1.242068156
parent,565,0.015769349,471,0.019529792,1.238465358
lazi,359,0.010019816,299,0.012397894,1.237337409
qualiti,794,0.022160819,661,0.027408052,1.236779735
coffe,1151,0.032124815,958,0.039723017,1.236521264
witti,760,0.021211867,631,0.026164117,1.233465965
relationship,3244,0.090541182,2687,0.111415184,1.230547053
east,1637,0.045689246,1351,0.056018576,1.226077925
balanc,1017,0.028384828,839,0.034788738,1.225610327
art,3216,0.089759692,2642,0.109549281,1.220473002
hate,1105,0.030840939,907,0.037608326,1.219428701
lifestyl,473,0.013201596,388,0.016088237,1.218658406
tast,709,0.01978844,581,0.02409089,1.217422435
footbal,559,0.015601887,458,0.018990753,1.217208773
although,1299,0.036255547,1064,0.044118257,1.216869149
honest,2431,0.067850066,1991,0.082555873,1.216739774
road,888,0.024784393,727,0.030144711,1.216277993
local,838,0.023388875,686,0.028444666,1.2161622
brain,363,0.010131458,297,0.012314965,1.215517534
intellig,1662,0.046387005,1358,0.056308828,1.213892293
express,523,0.014597114,427,0.017705353,1.212935172
wild,414,0.011554886,338,0.01401501,1.212907727
skill,450,0.012559658,367,0.015217481,1.211615873
restaur,1198,0.033436602,977,0.040510843,1.21157178
food,3355,0.093639231,2732,0.113281088,1.209760985
oakland,748,0.020876943,609,0.025251897,1.209559115
next,1394,0.038907031,1132,0.046937845,1.206410356
charm,383,0.010689665,311,0.012895468,1.206349139
visit,948,0.026459014,769,0.031886221,1.205117536
photo,497,0.013871445,403,0.016710204,1.204647715
attract,1052,0.02936169,853,0.035369242,1.204605093
sleep,654,0.01825337,530,0.021976199,1.203952977
educ,953,0.026598565,772,0.032010615,1.203471482
southern,441,0.012308465,357,0.014802836,1.202654915
believ,2955,0.08247509,2389,0.099058755,1.201074836
afraid,626,0.01747188,506,0.020981051,1.200846751
goofi,563,0.015713528,455,0.01886636,1.200644416
teach,838,0.023388875,677,0.028071485,1.200206719
admit,452,0.012615479,365,0.015134552,1.199681145
intern,412,0.011499065,332,0.013766223,1.197160203
confid,926,0.025844986,746,0.030932537,1.196848678
littl,3742,0.104440537,3010,0.124808227,1.19501709
stranger,368,0.01027101,296,0.0122735,1.194965305
ideal,474,0.013229507,381,0.015797985,1.194147676
wit,473,0.013201596,379,0.015715056,1.190390556
intens,488,0.013620252,391,0.01621263,1.190332631
proud,396,0.011052499,317,0.013144255,1.189256353
learn,4248,0.118563175,3395,0.14077207,1.187316968
creat,928,0.025900807,740,0.03068375,1.18466388
summer,903,0.025203048,715,0.029647137,1.176331414
sens,3033,0.084652097,2400,0.099514865,1.175574711
plus,416,0.011610706,329,0.013641829,1.174935351
also,9214,0.257165983,7285,0.30206908,1.174607452
full,1279,0.03569734,1009,0.041837708,1.172011911
clean,388,0.010829217,306,0.012688145,1.171658654
day,5200,0.14513383,4098,0.169921632,1.170792722
okc,362,0.010103547,285,0.01181739,1.16962783
surpris,530,0.014792487,417,0.017290708,1.168884471
experienc,449,0.012531748,353,0.014636978,1.167991731
side,1556,0.043428508,1223,0.050711117,1.167691901
person,8171,0.228055486,6416,0.266036406,1.166542453
near,782,0.021825895,614,0.02545922,1.166468517
feel,4687,0.13081582,3677,0.152465066,1.165494102
street,574,0.016020542,450,0.018659037,1.164694501
place,4213,0.117586313,3299,0.136791475,1.163328211
liber,405,0.011303693,317,0.013144255,1.162828434
entertain,565,0.015769349,442,0.018327321,1.162211652
quiet,899,0.025091406,703,0.029149563,1.161734902
catch,485,0.013536521,379,0.015715056,1.160937594
offer,1037,0.028943035,810,0.033586267,1.160426575
prefer,1593,0.044461191,1244,0.051581872,1.160154979
man,2431,0.067850066,1897,0.078658208,1.159294501
casual,368,0.01027101,287,0.011900319,1.158631901
fascin,421,0.011750258,328,0.013600365,1.157452431
cultur,1631,0.045521784,1270,0.052659949,1.156807681
cant,2138,0.059672332,1663,0.068955509,1.155569184
humor,3164,0.088308354,2458,0.101919808,1.154135521
divers,385,0.010745486,299,0.012397894,1.153776961
best,3187,0.088950292,2474,0.10258324,1.153264797
everyday,459,0.012810852,356,0.014761372,1.152255304
weather,529,0.014764576,410,0.017000456,1.151435429
space,520,0.014513383,403,0.016710204,1.15136522
want,7616,0.21256524,5900,0.24464071,1.150897058
nyc,532,0.014848307,412,0.017083385,1.150527457
save,381,0.010633844,295,0.012232035,1.150292913
